game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
"Marvel's Guardians of the Galaxy₹2,999",Marvel's Guardians of the Galaxy,"₹2,999",Eidos-Montréal,ActionAction-AdventureAdventure,Single PlayerController Support,Square Enix,10/26/21,Windows® 10 64 bit Build 1903,AMD Ryzen™ 5 1600 / Intel® Core™ i7-4790,16GB,NVIDIA® GeForce® GTX 1060 6GB / AMD Radeon™ RX 570,80GB,86%,Strong,PlatformWindowsWindows,82
"Knockout City™₹1,499",Knockout City™,"₹1,499",Velan Studios,Action,MultiplayerCompetitive,Electronic Arts,05/30/21,Windows 10 64-bit,Intel Core i5-6600 Quad Core 3.3 GHz,16GB,,15GB,,,PlatformWindowsWindows,
Chivalry 2₹939,Chivalry 2,₹939,Torn Banner Studios,ActionFirst Person,Multiplayer,Tripwire Interactive,06/08/21,Windows 10 64-bit,CPU: Intel i7-6700 or AMD Ryzen 5 3500x,16GB,,20GB,84%,Strong,PlatformWindowsWindows,82
"Saints Row®: The Third™  Remastered₹1,043",Saints Row®: The Third™  Remastered,"₹1,043","Deep Silver Volition, Sperasoft",Action,Multiplayer,Deep Silver,05/22/20,Windows 10  (1080p on High Settings),AMD / Intel processor running at 3.5 GHz (AMD FX 8000 series or Intel Core i5 4000 series or newer is recommended).,16GB,"AMD/NVIDIA dedicated graphic card, with at least 6GB of dedicated VRAM (or more) and with at least DirectX 11 and Shader Model 6.1 support. (AMD Radeon RX 5700 and NVIDIA GeForce GTX 1000 series or newer.","Saints Row®: The Third™  RemasteredSaints Row®: The Third™ Remastered gives you control of the Saints at the height of their power, and you live the life to show for it. This is your City. These are your rules.Remastered with enhanced graphics, Steelport the original city of sin, has never looked so good as it drowns in sex, drugs and guns.  Years after taking Stilwater for their own, the Third Street Saints have evolved from street gang to household brand name, with Saints sneakers, Saints energy drinks and Johnny Gat bobblehead dolls all available at a store near you. The Saints are kings of Stilwater, but their celebrity status has not gone unnoticed. The Syndicate, a legendary criminal fraternity with pawns in play all over the globe, has turned its eye on the Saints and demands tribute.Refusing to kneel to the Syndicate, you take the fight to Steelport, a once-proud metropolis reduced to a struggling city of sin under Syndicate control. Take a tank skydiving, call in a satellite-targeted airstrike on a Mexican wrestling gang, and fight against a highly-trained military force by your lonesome in the most outlandish gameplay scenarios ever seen.Weapons of Crass Destruction – It’s one thing to defeat your enemies.  It’s another to humiliate them.  Hover jets, human cannonball cars and outrageous melee weapons are all part of the fun. Crazy Character Customisation – Create the most outlandish characters ever seen, from washed-up celebrities to maskless ninja pirates.  Inside every sinner, there is a Saint.  Who will you become?Over The Top Co-op – Fly solo or play online with a homie. Give freefall skydiving a try, landing in your partner’s flaming pickup as you make a desperate run toward a heavily armed Syndicate base.  Steelport is always more fun with a friend.All DLC included – All three expansion mission packs and 30 pieces of DLC from the original version.",65%,Fair,PlatformWindowsWindows,74
Claire de Lune₹939,Claire de Lune,₹939,Tactic Studios,PuzzleAdventureer,Single Player,Tactic Studios,07/12/21,Windows 10 64-bit,Intel Core i7 6700 or AMD FX 8350,16GB,NVidia GTX 660 or AMD Radeon 7850,15GB,,,PlatformWindowsWindows,
"OUTRIDERS₹2,599",OUTRIDERS,"₹2,599",People Can Fly,ActionAction-AdventureShooter,Co-opMultiplayerSingle Player,Square Enix,04/15/21,Windows 10,Intel i7-7700K / AMD Ryzen 5 2600X,16GB,Nvidia GeForce GTX 750ti / AMD Radeon R9 270x,70GB,51%,Fair,Windows,73
"Horizon Zero Dawn™ Complete Edition₹3,299",Horizon Zero Dawn™ Complete Edition,"₹3,299",Guerrilla,ActionRPGAction-AdventureAdventure,Single Player,PlayStation PC LLC,08/07/20,Windows 10 64-bits,Intel Core i7-4770K@3.5GHz/Ryzen 5 1500X@3.5GHz,16GB RAM,Nvidia GeForce GTX 780 (3 GB)/AMD Radeon R9 290 (4GB),50~100GB,94%,Mighty,PlatformWindowsWindows,89
Swords of Legends OnlineFree,Swords of Legends Online,Free,Wangyuan Shengtang Entertainment Technology CO.,ActionRPG,Co-opMultiplayerSingle Player,Gameforge 4D GmbH,07/09/21,Windows 10,AMD Ryzen 5 1600 or Intel Core i5-6600K,16GB RAM,GeForce GTX 760 or Radeon HD 7870,80GB,20%,Fair,PlatformWindowsWindows,69
"Mortal Shell₹1,245",Mortal Shell,"₹1,245",Cold Symmetry,IndieRPG,Single Player,Playstack Ltd,08/18/20,64-bit processor and operating system,Intel Core i7 or AMD Ryzen 7,16GB RAM,,40GB SSD,,,PlatformWindowsWindows,
No Straight Roads₹589,No Straight Roads,₹589,Metronomik,ActionOpen World,Single Player,Fireshine Games,08/25/20,Windows 10 (with latest service pack),Intel i7-4770 or AMD Ryzen™ 5 2600,16GB RAM,,25GB,,,PlatformWindowsWindows,
Nuclear Throne₹419,Nuclear Throne,₹419,Vlambeer,ActionRPGRogue-Lite,Single PlayerController Support,Vlambeer,11/07/19,Windows XP,2Ghz,1GB,This game is locked to 30 frames per second.,2048 MB RAM,95%,Mighty,PlatformWindowsWindowsMac OSMac OS,86
Torchlight II₹560,Torchlight II,₹560,Runic Games,ActionDungeon CrawlerRPGAction-Adventure,Co-op,Gearbox Publishing,07/16/20,Windows XP SP3/Vista/Windows 7,x86-compatible 1.4GHz or faster processor,1GB System RAM,,,95%,Strong,PlatformWindowsWindowsMac OSMac OS,83
Blaster Master Zero 3₹955,Blaster Master Zero 3,₹955,"INTI CREATES CO.,LTD.",ActionAdventure,Single Player,"INTI CREATES CO.,LTD.",08/26/21,"Windows 7, 8.1, 10",2Ghz or faster processer,2 GB,512MB VRAM,500 MB,85%,Strong,Windows,78
Aerial_Knight's Never Yield₹459,Aerial_Knight's Never Yield,₹459,Aerial_Knight,ActionIndie,Controller Support,Headup,05/19/21,Windows 10,3.0 GHz dual core,2 GB,DirectX 9.0c compatible graphics card,2 GB,48%,Fair,PlatformWindowsWindows,71
The Life and Suffering of Sir Brante₹469,The Life and Suffering of Sir Brante,₹469,Sever,NarrationRPGAdventure,Single Player,101XP,03/04/21,Microsoft® Windows® 10,Pentium® 4 1.5 GHz / Athlon® XP,2 GB,DirectX® 9.0c compatible,5 GB,79%,Strong,PlatformWindowsWindows,83
RemiLore: Lost Girl in the Lands of Lore₹469,RemiLore: Lost Girl in the Lands of Lore,₹469,Pixellore Inc.,Action-AdventureRogue-Lite,Co-opSingle Player,"Nicalis, Inc.",02/12/21,Windows 10,2.4 GHz Dual core,2 GB,,550 MB,33%,Weak,Windows,59
Hitchhiker - A Mystery Game₹589,Hitchhiker - A Mystery Game,₹589,Mad About Pandas,CasualAdventure,Single Player,Versus Evil,04/15/21,Windows 7 SP1,Intel Core i3 2.00 GHz or AMD equivalent,2 GB,NVIDIA GeForce 450 or higher with 1GB Memory,8 GB,,,PlatformWindowsWindows,
Spectacular Sparky₹349,Spectacular Sparky,₹349,FreakZone Games,ActionShooterer,Single PlayerController Support,"Nicalis, Inc.",10/20/21,Windows 7 (SP1+)/Windows 10,SSE2 instruction set support,2 GB,,440 MB,,,PlatformWindowsWindowsMac OSMac OS,
Freedom Fighters₹372,Freedom Fighters,₹372,IO Interactive A/S,ActionShooter,Single Player,IO Interactive A/S,09/24/20,Windows 10,Pentium 4 2.4Ghz or Athlon XP/64-bit equivalent,2 GB,100% DirectX 10 compatible video card,1 GB,,,PlatformWindowsWindows,
Amnesia: The Dark Descent₹521,Amnesia:  The Dark Descent,₹521,Frictional Games,HorrorFirst Person,,Frictional Games,04/30/20,Windows 7,2.0 Ghz,2 GB,Integrated graphics and very low budget cards might not work.,3 GB,,,PlatformWindowsWindowsMac OSMac OS,
Missile Command: Recharged₹69,Missile Command: Recharged,₹69,Nickervision Studios,Action,Single Player,Atari Inc,06/24/20,Windows 7,Dual Core,2 GB,,500 MB,60%,Fair,PlatformWindowsWindowsMac OSMac OS,70
Shadow Man Remastered₹469,Shadow Man Remastered,₹469,"Nightdive Studios, Acclaim Studios Teesside",ActionHorrorAdventure,Single Player,Nightdive Studios,04/15/21,Windows 10,Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalent,2 GB,GPU with OpenGL 3.2 or DirectX 10 support,5 GB,42%,Fair,PlatformWindowsWindows,74
Loop Hero₹499,Loop Hero,₹499,Four Quarters,Card GameIndie,Single Player,Devolver Digital,03/04/21,"Windows 7, 8.1, 10 x64","Intel Core2 Duo E6750 (2 * 2660) or equivalent, AMD Athlon 64 X2 Dual Core 5000+ (2 * 2600) or equivalent",2 GB,,200 MB,91%,Mighty,PlatformWindowsWindowsMac OSMac OS,84
"Sonic Mania₹1,039",Sonic Mania,"₹1,039",Lab42,Actioner,Co-opSingle PlayerController Support,SEGA,06/24/21,Windows 8 /10,Core 2 Duo,2 GB RAM,,400 MB available space,97%,Mighty,Windows,87
Superbrothers: Sword & Sworcery EP₹186,Superbrothers: Sword & Sworcery EP,₹186,Capybara Games,IndieAdventure,Single Player,Capybara Games,07/30/20,Microsoft® Windows® 10,AMD Athlon 64 2800+ @ 1.8 Ghz and Intel Pentium IV @ 2.8 Ghz,2 GB RAM,Graphics Card with 128 MB of RAM,1 GB HD space,,,PlatformWindowsWindows,
Blazing Beaks₹349,Blazing Beaks,₹349,Applava,Rogue-LiteIndieShooter,Single PlayerCo-opController Support,Applava,10/05/21,Windows 7 or later,2+ GHz Dual-Core or better,2 GB RAM,Intel HD 4000 or better,600 MB,,,Windows,
Buddy Simulator 1984₹239,Buddy Simulator 1984,₹239,Not a Sailor Studios,HorrorAdventureIndie,Single Player,Not a Sailor Studios,09/23/21,Windows 7+,Dual core from Intel or AMD at 2.8 GHz,2 GB RAM,,400 MB available space,,,Windows,
Super Meat Boy₹521,Super Meat Boy,₹521,Team Meat,Actioner,Controller SupportSingle Player,Team Meat,10/20/10,Microsoft® Windows® 7 or 10,2.5GHz or faster,2 GB RAM,Medium to high end NVidia or AMD Card,400 MB,96%,Strong,PlatformWindowsWindows,83
A Short Hike₹297,A Short Hike,₹297,Adam Robinson-Yu,CasualIndieer,,Adam Robinson-Yu,03/04/20,Windows 7 SP1+ (or later),Intel or AMD Dual Core at 2 GHz or better,2 GB RAM,Intel Graphics 4400 or better,400 MB available space,100%,Mighty,PlatformWindowsWindowsMac OSMac OS,87
Tormentor x Punisher₹297,Tormentor x Punisher,₹297,E-Studio,ActionIndie,,Raw Fury,03/26/20,Windows XP/Vista/7/8/8.1/10 64-bit,"Intel Core2 Duo E4500 (2 * 2200) or equivalent, AMD Athlon 64 X2 4200+ (2 * 2200) or equivalent",2 GB RAM,"GeForce 7600 GT (256 MB), Intel HD Graphics 4400 (Shared), Radeon X1600 XT (256 MB)",500 MB available space,,,PlatformWindowsWindows,
No Longer Home₹459,No Longer Home,₹459,Humble Grove,CasualExplorationIndie,Single Player,Fellow Traveller,07/30/21,Windows 7 SP1,Intel i3 or equivalent,2 GB RAM,DirectX 11 compatible GPU,1 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
Garden Story₹469,Garden Story,₹469,Picogram,ActionRPGIndie,Single PlayerController Support,Rose City Games,08/11/21,Windows Vista or greater,2 Ghz,2 GB RAM,"256 mb video memory, shader model 3.0+",100 MB available space,,,PlatformWindowsWindows,
Crystal Crisis₹469,Crystal Crisis,₹469,"Nicalis, Inc.",Puzzle,MultiplayerCompetitiveSingle Player,Nicalis Inc.,07/08/21,Windows 7 or higher,2.4 GHz Dual Core,2 GB RAM,Requires a 64-bit processor and operating system,2 GB available space,55%,Strong,Windows,77
Whispers of a Machine₹349,Whispers of a Machine,₹349,Clifftop Games | Faravid Interactive,PuzzleAdventure,Single Player,Raw Fury,11/24/20,Windows 10,1 GHz or faster x86 or x64 processor,2 GB RAM,,,67%,Strong,PlatformWindowsWindowsMac OSMac OS,76
Stories Untold₹446,Stories Untold,₹446,No Code,First PersonNarrationAdventure,Single Player,Devolver Digital,02/27/17,Windows 7 or later,Intel Core™ Duo or faster,2 GB RAM,Version 9.0,Version 9.0,74%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,80
RAYMAN® LEGENDS₹999,Rayman Legends,₹999,Ubisoft,ActionAdventureer,Single Player,Ubisoft,11/29/19,Windows XP SP3 or Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Intel Core 2 Duo E4400 @ 2.0 GHz or AMD Athlon64 X2 3800+@ 2 GHz,2 GB RAM,"nVidia GeForce 9600GT or higher, AMD Radeon HD3850 or higher (512MB VRAM with Shader Model 4.0)",nVidia GeForce 6800GT or AMD Radeon X1950 Pro (256MB VRAM with Shader Model 3.0 or higher),97%,Mighty,PlatformWindowsWindows,90
Where The Water Tastes Like Wine₹484,Where The Water Tastes Like Wine,₹484,Dim Bulb Games,NarrationAdventure,Single Player,Good Shepherd Entertainment,09/10/20,"Windows 7, 8, 10",Intel Core2 Duo E4500 (2 * 2200) or equivalent/AMD Athlon 64 X2 4200+ (2 * 2200) or equivalent,2 GB RAM,GeForce 8500 GT (512 MB)/Radeon HD 4350 (512 MB),6 GB available space,53%,Fair,Windows,72
Limbo₹297,Limbo,₹297,Playdead,IndiePuzzleer,Controller SupportSingle Player,Playdead,07/30/10,Windows XP / Vista / 7 / 8 / 10,5 years or younger. Integrated graphics and very low budget cards may not work. Shader Model 3.0 required,2 GHz,9.0c,512 MB RAM,,,PlatformWindowsWindows,
Crashlands₹446,Crashlands,₹446,Butterscotch Shenanigans,ActionRPGAdventure,MultiplayerSingle Player,Butterscotch Shenanigans,04/30/20,"Windows 8/8.1, 10",2.0 Ghz,2.5 GB RAM,Version 9.0,Version 9.0,55%,Strong,PlatformWindowsWindows,76
CARRION₹745,CARRION,₹745,Phobia Game Studio,ActionHorrorIndie,Single Player,Devolver Digital,10/29/20,Requires a 64-bit processor and operating system,4 core processor,2048 MB RAM,,500 MB,75%,Strong,PlatformWindowsWindowsMac OSMac OS,76
"Watch Dogs Standard Edition₹1,499",Watch Dogs,"₹1,499",Ubisoft Montreal,ActionAdventure,Co-opSingle Player,Ubisoft,03/19/20,Windows Vista (SP2) x64 / Windows 7 (SP1) x64 / Windows® 8 x64 (x64 bit versions only),3.5 GHz Intel Core i7-3770 or 4.0 GHz AMD FX-8350 or better,2048 VRAM DirectX 11 with Shader Model 5.0 or higher,25 GB available space,8 GB RAM or greater,67%,Strong,PlatformWindowsWindows,79
Geneforge 1 - Mutagen₹469,Geneforge 1: Mutagen,₹469,Spiderweb Software,RPGIndie,Single Player,Spiderweb Software,02/24/21,Windows 7+ (64 bits),2 GHZ,256 MB,,300 MB,,,PlatformWindowsWindowsMac OSMac OS,
Beyond Good & Evil₹249,Beyond Good & Evil,₹249,Ubisoft,ActionAdventure,Single Player,Ubisoft,08/25/20,"ME, 2000 SP4, XP",1.3 GHz,256 MB,"ATI Radeon 9500, Nvidia GeForce 3 (64 MB)","ATI Radeon 7200, Nvidia GeForce1 256 (32 MB)",,,Windows,
Might & Magic Heroes 3₹499,Might & Magic Heroes 3,₹499,Ubisoft,RPGStrategy,Single Player,Ubisoft Entertainment,03/03/21,"Windows XP, Vista, 7, 8, 10",Intel Celeron 807UE @ 1 GHz or AMD Sempron @ 1.3 GHz,256 MB RAM,DirectX 9,3D graphics card compatible with DirectX 7,,,Windows,
Shakedown - Hawaii₹595,Shakedown - Hawaii,₹595,VBlank Entertainment,ActionOpen WorldAdventure,Single PlayerController Support,VBlank Entertainment,05/07/19,Windows® XP / Vista / 7 / 8 / 10,1GHz,256 MB RAM,Pixel Shader 2.0 and Vertex Shader 2.0,Pixel Shader 2.0 and Vertex Shader 2.0,65%,Strong,PlatformWindowsWindows,75
Tom Clancy’s Splinter Cell Double Agent₹249,Tom Clancy’s Splinter Cell Double Agent,₹249,Ubisoft Montreal,ActionStealth,,Ubisoft,03/11/21,Windows® XP,3 Ghz Pentium 4 or AMD Athlon 3000 (3.5 Ghz Pentium 4 or Athlon 3500 Recommended) - Game optimized for dual-Processeur-enabled computers.,256 Mo Recommended,8 GB,1.5 GB,,,Windows,
Critadel₹469,Critadel,₹469,Pixelian Studio,ActionRogue-LiteAdventure,Single PlayerController Support,"Nicalis, Inc.",10/13/21,Windows 7 SP1,Intel Core i3 1.7GHz,2GB,,500MB,,,PlatformWindowsWindows,
Wilmot's Warehouse₹458,Wilmot's Warehouse,₹458,"Hollow Ponds, Richard Hogg",PuzzleIndie,Co-opSingle PlayerController Support,Finji,08/06/20,Windows 10,Intel Quad-Core,2GB,,100MB,,,PlatformWindowsWindowsMac OSMac OS,
Halcyon 6 Starbase Commander₹479,Halcyon 6 Starbase Commander,₹479,Massive Damage,RPGStrategyIndie,Single Player,Massive Damage Inc.,02/11/21,"Windows XP, Vista, 7, 8, 10",2GHz,2GB RAM,,1GB,,,PlatformWindowsWindows,
Spelldrifter₹469,Spelldrifter,₹469,Free Range Games,RPG,Controller SupportSingle Player,Free Range Games,04/19/21,Windows 7+,2GHz+ (SSE2 instruction set support),2GB RAM,1GB Video RAM,2GB,,,Windows,
Stick It To The Man!₹186,Stick It To The Man!,₹186,Zoink,ActionAdventureer,,Ripstone,09/17/20,Windows XP,Dual-Core 1.6 GHz,2GB RAM,AMD Radeon 6310 / ATI Radeon HD 4650,2GB available space,83%,Strong,Windows,80
Rebel Galaxy Outlaw₹819,Rebel Galaxy Outlaw,₹819,Double Damage,RPGAdventure,Single Player,Double Damage,08/13/19,"Windows 7, Windows Vista, Windows 8, Windows 10","Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or higher",2GB Ram or higher,"Shader Model 4.0, 1GB VRam",20GB,83%,Strong,PlatformWindowsWindows,77
Tower of Guns₹589,Tower of Guns,₹589,Terrible Posture Games,ActionShooter,Single Player,Versus Evil,07/22/21,Windows Vista/7,2.4 GHz Intel Core 2 Duo (Dual-Core),3 GB,DirectX 9.0c,DirectX 9.0c,24%,Fair,Windows,69
"Tales from the Borderlands₹1,100",Tales from the Borderlands,"₹1,100",Telltale Games,ExplorationNarrationAdventure,,2K,02/17/21,Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB,ATI or NVIDIA card w/512 MB RAM,8 GB,96%,Mighty,PlatformWindowsWindows,87
Everhood₹239,Everhood,₹239,Chris Nordgren and Jordi Roca,ActionAdventureIndie,Single Player,Foreign Gnomes,09/16/21,"Requires a 64-bit processor and operating system OS: Windows XP, Vista, 7, or 10",2GHz+,3 GB RAM,,400 MB available space,80%,Mighty,Windows,85
The Fall₹239,The Fall,₹239,Over The Moon,ActionPuzzleAdventure,Single Player,Over The Moon,03/18/21,Windows 10,2.5 GHz dual core,3 GB Ram,"GeForce 8600 or equivalent, 256 MB memory",530 MB,45%,Fair,Windows,74
Mind Scanners₹399,Mind Scanners,₹399,The Outer Zone,SimulationNarration,Single Player,Brave At Night,09/23/21,Windows 10,High-range Intel Core i5,3 GB RAM,Nvidia Geforce GTX 550/equivalent or higher,3 GB available space,60%,Strong,Windows,77
The Telltale Batman Shadows Edition₹819,The Telltale Batman Shadows Edition,₹819,"LCG Entertainment, Inc.",ActionAction-AdventureAdventure,Controller SupportSingle Player,Telltale,12/17/19,Windows 10 64 bit service pack 1,Intel Core 2 Duo 2.4GHz,3 GB RAM,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT) - LATEST DRIVERS REQUIRED,30 GB available space,,,PlatformWindowsWindows,
iRacing - 3-month new membership₹449,iRacing,₹449,iRacing,SimulationSportsRacing,Multiplayer,iRacing,02/09/21,Windows 10,8 core or better,32 GB RAM,2 GB Dedicated memory,50 GB,,,PlatformWindowsWindows,
Colt Canyon₹349,Colt Canyon,₹349,Retrific,ActionShooter,Co-opSingle Player,Headup,09/02/21,Windows 10,2.4 GHZ Dual-Core,3GB,Intel HD Graphics or better,300MB,,,Windows,
Golf Club Wasteland-65%₹499₹174.65,Golf Club Wasteland,₹174.65,Demagog Studio,IndieCasualSports,Controller SupportSingle Player,Untold Tales S.A.,09/03/21,Windows 10,2.6 GHz Intel Quad Core,3GB,"NVIDIA GeForce GT 750M, 2 GB Memory",3GB,68%,Strong,Windows,77
Tinytopia₹349,Tinytopia,₹349,MeNic Games,IndieSimulationCity Builder,Single Player,Mastiff,08/30/21,Windows 10 64 Bit,Intel i3 8100 (3.6 GHz) / AMD Ryzen 3 2200G (3.5 GHz),4 GB,NVIDIA GeForce GTX 670 (2 GB) / AMD R7 260X (2GB),4 GB,,,PlatformWindowsWindowsMac OSMac OS,
Far Cry 3: Blood Dragon₹749,Far Cry 3: Blood Dragon,₹749,Ubisoft,First PersonShooterOpen WorldAdventure,Single Player,Ubisoft,02/18/20,Windows® XP (SP3) / Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8,2.93 GHz Intel® Core™ i3-530 or 3.10 GHz AMD Phenom™ II X2 550 or better,4 GB,3 GB HD space,1024 MB DirectX 11–complaint or higher,,,PlatformWindowsWindows,
Auto ChessFree,Auto Chess,Free,Dragonest Games,Strategy,Multiplayer,Dragonest Games,08/23/19,"Windows 7,10 X64 DX9c",Intel i5 3.0G,4 GB,GeForce GTX650Ti/GTX950,GeForce 9500GT/GT610,,,Windows,
Druidstone: The Secret of the Menhir Forest₹589,Druidstone: The Secret of the Menhir Forest,₹589,Ctrl Alt Ninja,Turn-BasedStrategyRPG,Single Player,Ctrl Alt Ninja,08/19/21,Windows 10 64-bit,Quad Core 2.66 Ghz Intel or 3.2 GHz AMD,4 GB,Geforce GTX 1050 or AMD Radeon RX 570,2 GB,86%,Strong,PlatformWindowsWindows,80
