game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Dumpy and Bumpy₹119,Dumpy and Bumpy,₹119,DeveloperProgramancer,PuzzleActionCasual,Co-opCompetitiveController SupportSingle PlayerMultiplayer,PublisherScreenwave Media,Release Date12/07/21,Windows 7,,1 GB,128 MB available disk space,Integrated graphics,,,Windows,
A Musical Story₹349,A Musical Story,₹349,DeveloperGlee-Cheese Studio,Music,Single Player,PublisherDigerati,Release Date03/04/22,Windows 7 or better,,4 GB RAM,Requires a 64-bit processor and operating system,integrated HD,,,PlatformWindowsWindowsMac OSMac OS,
Angry Video Game Nerd 1 and 2 Deluxe₹349,Angry Video Game Nerd I and II Deluxe,₹349,DeveloperFreakZone Games,PlatformerActionComedy,Single PlayerController Support,PublisherScreenwave Media,Release Date12/21/21,Windows 7 (64-bit),,4 GB,500 MB available space,Intel HD 4000,58%,Fair,Windows,74
Night LightsNEW TO EPIC-50%₹119₹59.50,Night Lights,₹59.50,DeveloperMeridian4,PlatformerPuzzleIndie,Single Player,PublisherMeridian4,Release Date04/25/22,Windows 10,,4 GB RAM,DirectX Compatible Sound Card,Intel HD 4000,,,Windows,
VALORANTFree,VALORANT,Free,DeveloperRiot Games,ActionShooter,MultiplayerCompetitive,PublisherRiot Games,Release Date11/04/21,Windows 7/8,,RAM 4GB,,"Intel HD 4000, Radeon R5 200",86%,Strong,Windows,81
Upaon A Snakes JourneyNEW TO EPIC₹59,Upaon: A Snake's Journey,₹59,DeveloperWired Dreams Studio,PuzzleIndieCasual,Controller SupportSingle Player,PublisherWired Dreams Studio,Release Date04/18/22,Windows 7,,2GB de RAM,500MB,Intel HD Graphics 3000,,,Windows,
Ravens HikeNEW TO EPIC₹89,Raven's Hike,₹89,DeveloperWired Dreams Studio,PlatformerPuzzleIndie,Controller SupportSingle Player,PublisherWired Dreams Studio,Release Date04/28/22,Windows 7,,2GB de RAM,500MB,Intel HD Graphics 3000,,,Windows,
Red Ronin₹189,Red Ronin,₹189,DeveloperWired Dreams Studio,PuzzleTurn-BasedStrategy,Single Player,PublisherWired Dreams Studio,Release Date03/17/22,Windows 7,,2GB de RAM,500MB,Intel HD Graphics 3000,,,PlatformWindowsWindows,
Cat Cafe Manager₹469,Cat Cafe Manager,₹469,DeveloperRoost Games,SimulationStrategy,Single Player,PublisherFreedom Games,Release Date04/14/22,Windows 10,,4,Game does not support ultrawide monitors.,Intel HD4000,,,Windows,
Sheepo-30%₹239₹167.30,SHEEPO,₹167.30,DeveloperKyle Thompson,PlatformerExplorationIndie,Single Player,"PublisherTop Hat Studios, Inc.",Release Date10/27/21,Windows 7,,2GB,300mb,Intel Integrated Graphics,,,PlatformWindowsWindows,
